id,description
1,"Active classic boxers - There's a reason why our boxers are a cult favorite - they keep their cool, especially in sticky situations. The quick-drying, lightweight underwear takes up minimal space in a travel pack. An exposed, brushed waistband offers next-to-skin softness, five-panel construction with a traditional boxer back for a classic fit, and a functional fly. Made of 3.7-oz 100% recycled polyester with moisture-wicking performance. Inseam (size M) is 4 1/2"". Recyclable through the Common Threads Recycling Program.Details: ""Silky Capilene 1 fabric is ultralight, breathable and quick-to-dry"" ""Exposed, brushed elastic waistband for comfort"" 5-panel construction with traditional boxer back ""Inseam (size M) is 4 1/2""""""Fabric: 3.7-oz 100% all-recycled polyester with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling ProgramWeight: 99 g (3.5 oz)Made in Mexico."
2,"Active sport boxer briefs - Skinning up Glory requires enough movement without your boxers deciding to poach their own route. The form-fitting Active Sport Boxer Briefs are made from breathable 93% polyester (71% recycled) fabric that's fast-wicking, dries quickly and has 7% spandex for stretch; the seamless waistband and soft leg edges won't roll or bind. The gusseted, flat-sewn 6"" inseam (size M) is offset to prevent inner-thigh chafe. Fly-free with a smooth front panel. Recyclable through the Common Threads Recycling Program.Details: ""Stretch mesh provides support, open-weave mesh for airflow, wicks efficiently, dries fast"" Seamless construction ""Flat-sewn, gusseted inseam is set forward to prevent inner-thigh chafe"" Fly-free support ""Inseam (size M) is 6""""""Fabric: ""4.6-oz 93% polyester (71% recycled)/7% spandex, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program""Weight: (60 g 2.1 oz)Made in Israel."
3,"Active sport briefs - These superbreathable no-fly briefs are the minimalist's choice for high-octane endeavors. Made from a blend of fast-wicking, quick-drying 93% polyester (71% recycled) and 7% spandex that has both stretch-mesh (for support) and open mesh (for cooling airflow). Soft edging at the leg openings and a seamless waist won't roll or create friction against layers. With a smooth front panel for opacity. Recyclable through the Common Threads Recycling Program.Details: ""Stretch mesh provides support, open-weave mesh for airflow, wicks efficiently and dries fast"" Seamless construction Leg openings have half-inch self-binding for comfort Fly-free supportFabric: ""4.6-oz 93% polyester (71% recycled)/7% spandex, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program""Weight: (49 g 1.7 oz)Made in Israel."
4,"Alpine guide pants - Skin in, climb ice, switch to rock, traverse a knife-edge ridge and boogie back down - these durable, weather-resistant and breathable soft-shell pants keep stride on every mountain endeavor. The midweight stretch-woven polyester won't restrict your moves, and the brushed interior maintains next-to-skin comfort. A 2-way zippered fly keeps things easy with a harness on, and the gusseted, zippered cuffs have 2-position snaps and tie-down loops. With water-resistant zippered pockets: two front, two thigh, one back hip. Recyclable through the Common Threads Recycling Program.Details: Durable stretch-woven polyester (47% recycled) with DWR (durable water repellent) finish is water- and wind-resistant and highly breathable Brushed interior for next-to-skin comfort Waistband has belt loops and elastic on back 2-way zippered fly ""External pockets: two front slash, two glued-on thigh, one back hip - all with highly water-resistant, DWR-finished zippers"" ""Gusseted, zippered cuff with 2-position adjustable settings and tie-down loops""Fabric: ""7.6-oz 90-denier 92% polyester (47% recycled)/8% spandex, with Deluge DWR finish. Recyclable through the Common Threads Recycling Program""Weight: (597 g 20.7 oz)Made in Vietnam."
5,"Alpine wind jkt - On high ridges, steep ice and anything alpine, this jacket serves as a true ""best of all worlds"" staple. It excels as a stand-alone shell for blustery rock climbs, cool-weather trail runs and high-output ski tours. And then, when conditions have you ice and alpine climbing, it functions as a lightly insulated windshirt on the approach, as well as a frictionless midlayer when it's time to bundle up and tie-in. The polyester ripstop shell with a Deluge DWR (durable water repellent) treatment sheds snow and blocks wind, while the smooth, lightly brushed hanging mesh liner wicks moisture, dries fast, and doesn't bind to your baselayers. Superlight stretch-woven underarm panels enhance breathability and allow for unimpaired arm motion, and the two hand pockets close with zippers. A drawcord hem, elastic cuffs, a heat-transfer reflective logo and a regular-coil, center-front zipper with DWR finish round out the features. Updated this season for an improved fit. Recyclable through the Common Threads Recycling Program.Details: ""Lightweight, breathable polyester ripstop fabric with Deluge DWR (durable water repellent) finish; Slightly brushed polyester-mesh liner wicks moisture and dries fast"" ""Stretch-woven underarm panels provide breathability, stretch for unimpeded range of motion"" DWR finish on center-front zipper Elastic cuffs ""Pockets: exterior chest, zippered handwarmers"" Drawcord hem Reflective heat-transfer logoFabric: Shell: 1.3-oz 20-denier 100% polyester ripstop. Panels: 4.6-oz 75-denier 90% all-recycled polyester/10% spandex. Shell and panels have Deluge DWR (durable water repellent) finish. Lining: 100% polyester brushed tricot mesh. Recyclable through the Common Threads Recycling ProgramWeight: (331 g 11.5 oz)Made in China."
6,"Ascensionist jkt - Our most technical soft shell for full-on mountain pursuits strikes the alpinist's balance between protection and minimalism. The dense 2-way-stretch polyester double weave, with stitchless seams, has exceptional water- and wind-resistance, a rapid dry time and superb breathability. Pared-down detailing provides everything you need and nothing more: a 3-way-adjustable, helmet-compatible hood; a reverse-coil center-front zipper with a DWR (durable water repellent) finish; large external handwarmer pockets (with zipper garages) that are placed above the harness-line; an internal security pocket; articulated arms; self-fabic cuff tabs; a drawcord hem. Recyclable through the Common Threads Recycling Program.Details: ""Dense stretchy polyester double-weave fabric is exceptionally water- and wind-resistant and is spandex-free for fast dry times; Stitch-free, lap-glued seams speed dry time, improve water resistance and decrease bulk"" ""Helmet-compatible, 3-way-adjustable hood;  brushed chamois patches for chin and neck comfort"" DWR-(durable water repellent) finished center-front zipper; external pockets: two handwarmers fit skins and have zipper garages and DWR finish on zippers Internal security pocket Articulated arms ""Low-profile, laminated, self-fabric cuff tabs"" Drawcord hemFabric: 5.3-oz 100% polyester (45% recycled) double weave with 2-way-stretch and Deluge DWR finish. Recyclable through the Common Threads Recycling ProgramWeight: (553 g 19.2 oz)Made in China."
7,"Atom - A multitasker's cloud nine, the Atom plays the part of courier bag, daypack and carry-on. Its teardrop shape provides the support of a daypack by positioning the load behind your shoulder, and the single-strap design makes getting to the goods simple - just spin it around front. The large zippered main pocket has internal zippered mesh and stretch-woven pockets. A convenient zippered pocket on the shoulder strap is lined to protect valuables. Breathable, moisture-moving 3-D spacer mesh pads the shoulder strap and back panel. Made from 150-denier double-weave all-recycled polyester with a polyurethane coating and DWR (durable water repellent) finish.Details: Atom spins around from back to chest for easy access Main zippered pocket has internal zippered mesh and stretch-woven organizer pockets Small zippered pocket for essentials ""Zippered pocket on shoulder strap is lined to protect cell phone, sunglasses, etc"" ""Teardrop shape positions weight behind the shoulder, easing stress on neck and back"" ""3-D spacer-mesh on the shoulder strap and back panel wicks moisture, dries quickly and allows air circulation"" Waistbelt secures pack to torsoFabric: 7.4-oz 150-denier 100% all-recycled polyester double weave. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Shoulder strap: 100% polyester 3-D spacer meshWeight: (311 g 10.8 oz)Made in Vietnam."
8,"Print banded betina btm - Our fullest coverage bottoms, the Betina fits highest across the hips with a slightly scooped, lined front. Made from a blend of 82% nylon/18% spandex.Details: Fullest coverage bottom ""Fits highest across hips, full front and back coverage"" Regular rise Improved fabricFabric: 5.6-oz 82% nylon/18% spandexWeight: (49 g 1.7 oz)Made in USA."
9,"Baby micro d-luxe cardigan - Micro D-Luxe is a heavenly soft fabric with down-to-earth applications. This cardigan is made from a quick-drying, durable 4.6-oz 100% polyester (87% recycled) microdenier fleece that is lightweight and breathable so it can work as a top or midlayer. A wind flap backs the zip front, while the hood has covered-elastic side trim to bundle babies in deep warmth. With slash-style patch pockets, color-coordinating elbow patches and soft self-fabric cuffs. Recyclable through the Common Threads Recycling Program.Details: ""Soft, microdenier fleece made from 87% recycled polyester is durable and quick-to-dry"" Hood stays secure with covered side elastic Inside neck tape for a clean finish Handwarmer patch pockets ""Full front zip backed by a wind flap; soft, self-fabric cuffs""Fabric: 4.6-oz 100% microdenier polyester (87% recycled) fleece. Recyclable through the Common Threads Recycling ProgramWeight: (121 g 4.2 oz)Made in Costa Rica."
10,"Baby sun bucket hat - This hat goes on when the sun rises above the horizon, and stays on when raindrops start falling. Its made from an ultra-durable 4-ply, 4.2-oz Supplex nylon fabric with a DWR (durable water repellent) finish, and reverses to either a contrasting solid color or print. A soft tuck-away chin strap with a hook-and-loop fastener holds securely without chafing young jawlines. Packs small; easy care.Details: ""Lightweight Supplex nylon is soft, dries fast and packs small; easy care"" Brim shields head and neck Chin strap with hook-and-loop fastener can be tucked away when not in use Reversible style with fun print/solid combinations One colorway has print on both sidesFabric: ""4-ply, 4.2-oz Supplex nylon with a DWR (durable water repellent) finish""Weight: (49 g 1.7 oz)Made in China."
